Russia;UN;17125191;142.9;12.7;1945;1657553;
Russia;WTO;17125191;142.9;12.7;2012;1657553;
Japan;UN;377944;126.2;14.0;1956;4970915;
China;UN;9598962;1404.3;21.7;1945;13608151;
Russia;OSCE;17125191;142.9;12.7;1975;1657553;
Spain;UN;505990;46.7;3.2;1955;1426189;
German;UN;357408;83.0;3.6;1973;3996759;
Russia;BRICS;17125191;142.9;12.7;2006;1657553;
China;BRICS;9598962;1404.3;21.7;2006;13608151;
Italy;WTO;301230;60.4;1.4;1995;2073901;
Ukraine;WTO;603628;42.0;2.9;2008;130800;
Brasil;WTO;8514215;209.5;2.5;1995;1868626;
German;WTO;357408;83.0;3.6;1995;3996759;
Italy;UN;301230;60.4;1.4;1955;2073901;
France;UN;551500;67.0;2.1;1945;2825207;
USA;UN;9518900;328.2;0.7;1945;20494100;
